日期,平台,SKU,数量,城市,州,邮编
2025/3/4,Amazon,V01GQ103S,2,HOGANSVILLE,Georgia,30230-3137
2025/3/9,Walmart,V01GQ003S,2,Lomita,California,90717
2025/3/10,Amazon,V01GQ003S,2,LOUISVILLE,Kentucky,40272-4587
2025/3/10,Amazon,V01GQ103S,2,HOMESTEAD,Florida,33032-6075
2025/3/10,Amazon,V01GQ103S,2,SPRINGFIELD,Ohio,45505-1564
2025/3/11,Amazon,V01GQ103S,2,UNION MILLS,North Carolina,28167-9655
2025/3/12,Amazon,V01GQ103S,2,GROVES,Texas,77619-5907
2025/3/12,Amazon,V01GQ103S,2,STRONGSVILLE,Ohio,44149-1316
2025/3/3,Amazon,V01GQ004S,2,APOPKA,Florida,32712-2724
2025/3/12,Walmart,V01GQ003S,2,Bentonville,Arkansas,72712
2025/3/12,Amazon,V01GQ003S,2,LANSING,New York,14882-8810
2025/3/12,Amazon,V01GQ103S,1,SPRINGFIELD,Illinois,62711-7951
2025/3/13,Amazon,V01GQ103S,2,DERIDDER,Louisiana,70634-7138
2025/3/13,Amazon,V01GQ103S,2,BRADENTON,Florida,34208-1430
2025/3/13,Amazon,V01GQ103S,2,SOUTH PASADENA,California,91030-2514
2025/3/13,Amazon,V01GQ103S,2,ROSEVILLE,California,95747-6400
2025/3/13,Amazon,V01GQ004S,2,NANTICOKE,Pennsylvania,18634-2720
2025/3/13,Amazon,V01GQ103S,2,GREELEY,Colorado,80634-7714
2025/3/14,Amazon,V01GQ004S,2,LAPORTE,Indiana,46350-8195
2025/3/14,Amazon,V01GQ004S,2,ALBIA,Iowa,52531-8905
2025/3/15,Amazon,V01GQ103S,2,SICKLERVILLE,New Jersey,08081-1755
2025/3/15,Amazon,V01GQ103S,2,Bremerton,Washington,98311
2025/3/16,Amazon,V01GQ004S,2,CANTONMENT,Florida,32533-6993
2025/3/16,Amazon,V01GQ004S,2,SAN MARCOS,Texas,78666-8967
2025/3/16,Amazon,V01GQ103S,2,CORAL SPRINGS,Florida,33071-5872
2025/3/16,Amazon,V01GQ103S,2,ODESSA,Texas,79765-2109
2025/3/16,Amazon,V01GQ103S,1,SAUGUS,Massachusetts,01906-3556
2025/3/16,Amazon,V01GQ103S,2,FRENCHVILLE,Maine,04745-6022
2025/3/16,Amazon,V01GQ103S,2,SPOKANE,Washington,99224-8316
2025/3/17,Amazon,V01GQ103S,2,SYRACUSE,Nebraska,68446-7753
2025/3/17,Amazon,V01GQ103S,2,BRONX,New York,10474-6706
2025/3/17,Amazon,V01GQ103S,2,Blaine,Minnesota,55449
2025/3/17,Amazon,V01GQ103S,2,MATTOON,Illinois,61938-3421
2025/3/17,Amazon,V01GQ103S,2,CHARLESTON,South Carolina,29407-3305
2025/3/17,Amazon,V01GQ004S,2,CARROLLTON,Texas,75007-1605
2025/3/18,Amazon,V01GQ103S,2,SUN CITY CENTER,Florida,33573-5712
2025/3/18,Amazon,V01GQ103S,2,WEST PALM BEACH,Florida,33411-5510
2025/3/18,Amazon,V01GQ103S,2,NEW PALESTINE,Indiana,46163-1401
2025/3/18,Amazon,V01GQ004S,2,CAPE CORAL,Florida,33993-4603
2025/3/18,Amazon,V01GQ103S,2,RAYMORE,Missouri,64083-8553
2025/3/18,Amazon,V01GQ103S,2,CATHEDRAL CITY,California,92234-1109
2025/3/19,Amazon,V01GQ103S,2,NORWALK,Connecticut,06855-1001
2025/3/19,Amazon,V01GQ103S,2,SPOKANE,Washington,99205-1378
2025/3/19,Amazon,V01GQ103S,2,HOMESTEAD,Florida,33034-3295
2025/3/19,Walmart,V01GQ103S,2,Loxahatchee,Florida,33470
2025/3/19,Amazon,V01GQ103S,1,MANSFIELD,Texas,76063-7901
2025/3/20,Walmart,V01GQ004S,2,Homestead,Florida,33033
2025/3/20,Walmart,V01GQ103S,2,Sanford,Maine,4073
2025/3/20,Amazon,V01GQ103S,2,MARYSVILLE,Michigan,48040-2514
2025/3/20,Amazon,V01GQ004S,2,BOWIE,Texas,76230-6909
2025/3/21,Walmart,V01GQ103S,2,Beloit,Wisconsin,53511
2025/3/21,Amazon,V01GQ003,2,HOMEWOOD,Illinois,60430-4514
2025/3/21,Amazon,V01GQ003,2,FREMONT,Nebraska,68025-4404
2025/3/21,Amazon,V01GQ103S,2,PLANTATION,Florida,33324-1208
2025/3/21,Amazon,V01GQ103S,2,COVINGTON,Georgia,30014-2693
2025/3/21,Walmart,V01GQ103S,2,Everett,Washington,98203
2025/3/22,Amazon,V01GQ103S,2,UTICA,Ohio,43080-9505
2025/3/22,Amazon,V01GQ103S,2,FLATWOODS,Kentucky,41139-9075
2025/3/22,Amazon,V01GQ004S,2,WOODBINE,Maryland,21797-7542
2025/3/22,Amazon,V01GQ103S,2,SARATOGA SPRINGS,New York,12866-5424
2025/3/22,Amazon,V01GQ103S,2,MIDDLETOWN,New York,10940-2907
2025/3/23,Amazon,V01GQ003,2,EAST BERLIN,Pennsylvania,17316-8321
2025/3/23,Amazon,V01GQ103S,2,MILWAUKEE,Wisconsin,53223-1653
2025/3/23,Amazon,V01GQ103S,2,ENGELHARD,North Carolina,27824-8931
2025/3/23,Amazon,V01GQ103S,2,RIVERDALE,Georgia,30274-4111
2025/3/23,Amazon,V01GQ003,2,HOLLISTON,Massachusetts,01746-1013
2025/3/23,Walmart,V01GQ103S,2,Fountain Inn,South Carolina,29644
2025/3/23,Amazon,V01GQ103S,2,TALLAHASSEE,Florida,32303-4652
2025/3/23,Amazon,V01GQ003,2,COUNCIL BLUFFS,Iowa,51501-1019
2025/3/23,Amazon,V01GQ103S,2,CANYON LAKE,California,92587-7708
2025/3/23,Amazon,V01GQ103S,2,EASTLAND,Texas,76448-2372
2025/3/23,Amazon,V01GQ103S,2,PLAINFIELD,Illinois,60586-5452
2025/3/23,Amazon,V01GQ003,2,SAN DIEGO,California,92126-8227
2025/3/25,Walmart,V01GQ103S,1,Waukee,Iowa,50263
