州,州_中文,区域,总数量
Florida,佛罗里达州,美南,927
California,加利福尼亚州,美西,539
Texas,得克萨斯州,美中,491
New York,纽约州,美东,479
Pennsylvania,宾夕法尼亚州,美东,387
Ohio,俄亥俄州,美中,320
Michigan,密歇根州,美中,304
Illinois,伊利诺伊州,美中,269
Georgia,佐治亚州,美南,239
North Carolina,北卡罗来纳州,美南,239
New Jersey,新泽西州,美东,238
Massachusetts,马萨诸塞州,美东,212
Washington,华盛顿州,美西,201
Indiana,印第安纳州,美中,186
Virginia,弗吉尼亚州,美南,169
Maryland,马里兰州,美东,152
Wisconsin,威斯康星州,美中,146
South Carolina,南卡罗来纳州,美南,144
Colorado,科罗拉多州,美西,138
Missouri,密苏里州,美中,138
Tennessee,田纳西州,美南,138
Arizona,亚利桑那州,美西,116
Minnesota,明尼苏达州,美中,115
Connecticut,康涅狄格州,美东,111
Oregon,俄勒冈州,美西,109
Kentucky,肯塔基州,美南,105
Oklahoma,俄克拉何马州,美中,87
Iowa,艾奥瓦州,美中,87
Louisiana,路易斯安那州,美中,75
Maine,缅因州,美东,67
Arkansas,阿肯色州,美中,62
Alabama,阿拉巴马州,美南,59
Nebraska,内布拉斯加州,美中,56
New Mexico,新墨西哥州,,54
Mississippi,密西西比州,美南,52
Nevada,内华达州,美西,53
New Hampshire,新罕布什尔州,美东,52
Utah,犹他州,美西,50
Rhode Island,罗得岛州,美东,49
West Virginia,西弗吉尼亚州,美南,47
Idaho,爱达荷州,美西,47
Kansas,堪萨斯州,美中,44
Delaware,特拉华州,美东,33
North Dakota,北达科他州,美中,27
Vermont,佛蒙特州,美东,25
South Dakota,南达科他州,美中,17
Montana,蒙大拿州,美西,17
Wyoming,怀俄明州,美西,19
District of Columbia,华盛顿哥伦比亚特区,美东,11
